,image_name,labels
0,image-stipple-28-10.png,stipple
1,image-cc-6-5.png,stipple
2,image-poster-29-1.png,stipple
3,image-jitter-1-6.png,stipple
4,image-emboss-18-2.png,stipple
5,image-jitter-33-3.png,stipple
6,image-smooth-21-3.png,stipple
7,image-smooth-32-9.png,stipple
8,image-noise02-28-7.png,stipple
9,image-con-39-8.png,stipple
10,image-rot-36-9.png,stipple
11,image-smooth-3-6.png,stipple
12,image-noise01-6-4.png,stipple
13,image-original-26-9.png,stipple
14,image-neg-39-1.png,stipple
15,image-cc-22-8.png,stipple
16,image-noise01-14-9.png,stipple
17,image-noise02-28-6.png,stipple
18,image-stipple-12-10.png,stipple
19,image-noise01-30-8.png,stipple
20,image-smooth-25-6.png,stipple
21,image-con-17-3.png,stipple
22,image-noise02-33-7.png,stipple
23,image-cc-8-9.png,stipple
24,image-neg-17-9.png,stipple
25,image-jitter-37-4.png,stipple
26,image-noise02-31-5.png,stipple
27,image-neg-33-8.png,stipple
28,image-smooth-17-10.png,stipple
29,image-rot-21-4.png,stipple
30,image-poster-14-2.png,stipple
31,image-original-31-4.png,stipple
32,image-poster-29-2.png,stipple
33,image-smooth-40-1.png,stipple
34,image-original-37-2.png,stipple
35,image-con-37-4.png,stipple
36,image-noise01-8-8.png,stipple
37,image-noise02-7-7.png,stipple
38,image-emboss-21-5.png,stipple
39,image-cc-31-1.png,stipple
40,image-poster-36-4.png,stipple
41,image-smooth-21-1.png,stipple
42,image-original-37-3.png,stipple
43,image-emboss-23-6.png,stipple
44,image-rot-27-3.png,stipple
45,image-smooth-1-6.png,stipple
46,image-poster-5-9.png,stipple
47,image-noise01-40-10.png,stipple
48,image-noise02-19-8.png,stipple
49,image-original-19-9.png,stipple
50,image-noise02-12-10.png,stipple
51,image-original-15-4.png,stipple
52,image-cc-11-4.png,stipple
53,image-neg-17-8.png,stipple
54,image-emboss-4-3.png,stipple
55,image-stipple-40-1.png,stipple
56,image-noise02-33-6.png,stipple
57,image-stipple-40-5.png,stipple
58,image-poster-30-6.png,stipple
59,image-rot-23-3.png,stipple
60,image-smooth-25-1.png,stipple
61,image-poster-31-10.png,stipple
62,image-stipple-21-4.png,stipple
63,image-noise01-36-9.png,stipple
64,image-noise01-18-3.png,stipple
65,image-emboss-40-1.png,stipple
66,image-stipple-7-10.png,stipple
67,image-jitter-15-6.png,stipple
68,image-stipple-25-1.png,stipple
69,image-smooth-21-4.png,stipple
70,image-con-35-2.png,stipple
71,image-jitter-35-2.png,stipple
72,image-poster-14-6.png,stipple
73,image-jitter-26-8.png,stipple
74,image-noise01-38-7.png,stipple
75,image-emboss-6-4.png,stipple
76,image-noise02-20-9.png,stipple
