,image_name,labels
0,image-cc-13-4.png,cc
1,image-smooth-23-1.png,smooth
2,image-emboss-21-7.png,neg
3,image-original-27-10.png,smooth
4,image-con-11-5.png,stipple
5,image-emboss-23-5.png,neg
6,image-rot-2-9.png,rot
7,image-stipple-21-3.png,stipple
8,image-noise01-29-9.png,noise01
9,image-original-15-5.png,smooth
10,image-emboss-38-4.png,neg
11,image-noise01-18-6.png,noise01
12,image-original-28-5.png,smooth
13,image-stipple-38-1.png,stipple
14,image-stipple-18-4.png,stipple
15,image-jitter-11-2.png,smooth
16,image-noise02-17-3.png,noise01
17,image-cc-35-1.png,cc
18,image-jitter-15-6.png,cc
19,image-emboss-13-10.png,neg
20,image-poster-32-5.png,smooth
21,image-smooth-5-5.png,smooth
22,image-con-19-8.png,cc
23,image-rot-16-9.png,rot
24,image-con-33-6.png,stipple
25,image-cc-4-2.png,cc
26,image-noise02-13-4.png,noise01
27,image-jitter-31-5.png,neg
28,image-noise02-35-6.png,noise01
29,image-smooth-35-10.png,smooth
30,image-poster-35-7.png,noise01
31,image-poster-15-2.png,smooth
32,image-stipple-22-3.png,stipple
33,image-original-14-5.png,smooth
34,image-smooth-28-9.png,smooth
35,image-smooth-11-10.png,smooth
36,image-emboss-11-9.png,neg
37,image-noise01-20-3.png,noise01
38,image-poster-11-7.png,original
39,image-smooth-20-3.png,smooth
40,image-rot-38-10.png,rot
41,image-noise01-28-8.png,noise01
42,image-poster-4-10.png,smooth
43,image-jitter-29-1.png,noise01
44,image-original-27-8.png,smooth
45,image-con-25-8.png,cc
46,image-poster-37-3.png,smooth
47,image-jitter-10-1.png,smooth
48,image-stipple-32-10.png,stipple
49,image-neg-10-8.png,neg
50,image-stipple-11-9.png,stipple
51,image-jitter-16-4.png,con
52,image-noise01-3-7.png,con
53,image-con-27-5.png,cc
54,image-emboss-10-10.png,neg
55,image-noise01-13-5.png,noise01
56,image-noise01-11-7.png,original
57,image-noise02-18-1.png,stipple
58,image-stipple-33-3.png,stipple
59,image-cc-1-8.png,cc
60,image-noise02-27-3.png,noise01
61,image-jitter-23-2.png,smooth
62,image-neg-12-7.png,neg
63,image-original-36-8.png,smooth
64,image-poster-31-9.png,smooth
65,image-neg-5-6.png,neg
66,image-noise01-3-8.png,noise01
67,image-noise01-17-2.png,noise01
68,image-neg-1-2.png,neg
69,image-cc-21-3.png,cc
70,image-smooth-33-5.png,rot
71,image-rot-11-6.png,rot
72,image-neg-29-4.png,neg
73,image-noise01-28-5.png,noise01
74,image-emboss-31-3.png,neg
75,image-emboss-1-8.png,neg
76,image-original-1-2.png,rot
77,image-noise01-7-9.png,noise01
78,image-jitter-21-6.png,smooth
79,image-noise02-30-9.png,noise01
80,image-neg-16-5.png,neg
81,image-smooth-31-5.png,neg
82,image-original-9-10.png,smooth
83,image-neg-31-3.png,neg
84,image-rot-16-6.png,rot
85,image-stipple-21-8.png,stipple
86,image-stipple-38-9.png,stipple
87,image-con-39-2.png,rot
88,image-noise01-10-7.png,rot
89,image-cc-22-10.png,cc
90,image-con-17-9.png,con
91,image-noise01-10-3.png,rot
92,image-poster-12-10.png,con
93,image-noise02-31-8.png,noise01
94,image-stipple-8-9.png,stipple
95,image-noise01-18-9.png,rot
96,image-poster-34-8.png,neg
97,image-jitter-19-1.png,smooth
98,image-poster-7-5.png,noise01
99,image-rot-25-10.png,rot
